date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:37:36	51039/51039	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2014%20Apr%202021%2019:39:00%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/js/bootstrap.min.js	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/js/bootstrap.min.js	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:37:36	22342/22342	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2014%20Apr%202021%2019:39:00%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/js/jquery.flexslider-min.js	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/js/jquery.flexslider-min.js	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:37:37	5010/5010	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2014%20Apr%202021%2019:39:00%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/js/smooth-scroll.min.js	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/js/smooth-scroll.min.js	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:37:37	11564/11564	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2014%20Apr%202021%2019:39:00%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/js/main.js	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/js/main.js	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:37:39	170536/170536	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Apr%202021%2019:39:33%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/images/blog/04.jpg	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/images/blog/04.jpg	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:37:39	68253/68253	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2014%20Apr%202021%2019:38:59%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/js/jquery.fancybox.min.js	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/js/jquery.fancybox.min.js	(from http://duruthemes.com/demo/html/dorothea/multipage/index.html)
12:37:46	56108/56108	---M--	200	added ('OK')	font/woff	date:Wed,%2014%20Apr%202021%2019:39:02%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/fonts/themify.woff	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/fonts/themify.woff	(from http://duruthemes.com/demo/html/dorothea/multipage/css/themify-icons.css)
12:37:49	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2014%20Apr%202021%2019:39:01%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/fonts/themify.eot	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/fonts/themify.eot	(from http://duruthemes.com/demo/html/dorothea/multipage/css/themify-icons.css)
12:37:51	78748/78748	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2014%20Apr%202021%2019:39:01%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/fonts/themify.eot?	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/fonts/themifyd41d.eot	(from http://duruthemes.com/demo/html/dorothea/multipage/css/themify-icons.css)
12:37:51	78584/78584	---M--	200	added ('OK')	font/ttf	date:Wed,%2014%20Apr%202021%2019:39:01%20GMT	http://duruthemes.com/demo/html/dorothea/multipage/fonts/themify.ttf	D:/my%20web%20sitte%20ffffgggg/duruthemes.com/demo/html/dorothea/multipage/fonts/themify.ttf	(from http://duruthemes.com/demo/html/dorothea/multipage/css/themify-icons.css)
